,Location,Land Size,Building Size,Num Rooms,Num Floors,Price ($)
180,Jakarta,188.0,59.0,7.0,3.0,2481608.38
181,Tangerang,193.0,158.0,6.0,1.0,3303655.7399999998
182,Tangerang,146.0,84.0,9.0,1.0,2690496.27
183,Depok,173.0,161.0,5.0,3.0,3335007.0
184,Depok,119.0,68.0,2.0,1.0,1773916.0
185,Jakarta,142.0,57.0,7.0,2.0,2140498.05
186,Depok,52.0,40.0,2.0,1.0,1138205.0
187,Jakarta,197.0,78.0,5.0,3.0,2488992.49
188,Jakarta,196.0,64.0,9.0,3.0,2737502.99
189,Jakarta,139.0,136.0,3.0,,2577924.0
190,Tangerang,196.0,72.0,4.0,1.0,2255167.53
191,Depok,197.0,95.0,2.0,2.0,2480275.0
192,Depok,145.0,77.0,8.0,1.0,2549963.0
193,Depok,101.0,75.0,5.0,2.0,2102197.0
194,Depok,177.0,59.0,4.0,3.0,2247680.0
195,Tangerang,88.0,53.0,2.0,3.0,1465116.84
196,Depok,131.0,104.0,6.0,2.0,2685022.0
197,Depok,153.0,115.0,9.0,1.0,3161974.0
198,Tangerang,178.0,116.0,7.0,1.0,2892033.54
199,Depok,60.0,48.0,7.0,3.0,1892885.0
200,Depok,91.0,79.0,5.0,1.0,1998341.0
201,Tangerang,148.0,80.0,6.0,2.0,2324269.53
202,Tangerang,56.0,44.0,3.0,2.0,1281044.16
203,Tangerang,193.0,68.0,4.0,1.0,2248761.2399999998
204,Tangerang,139.0,130.0,5.0,3.0,2797870.68
205,Jakarta,161.0,149.0,8.0,3.0,3341493.09
206,Tangerang,109.0,97.0,2.0,3.0,1975670.73
207,Depok,162.0,69.0,7.0,3.0,2633587.0
208,Depok,51.0,39.0,2.0,3.0,1283234.0
209,Depok,178.0,126.0,4.0,2.0,2921949.0
210,Depok,97.0,92.0,6.0,1.0,2339568.0
211,Jakarta,189.0,188.0,6.0,2.0,3632232.7
212,Jakarta,86.0,74.0,5.0,3.0,1880211.96
213,Jakarta,58.0,46.0,5.0,3.0,1445093.86
214,Depok,148.0,99.0,6.0,1.0,2663499.0
215,Depok,196.0,77.0,5.0,1.0,2523999.0
216,Tangerang,97.0,53.0,6.0,1.0,1763702.82
217,Tangerang,180.0,71.0,4.0,2.0,2216022.93
218,Depok,197.0,168.0,5.0,1.0,3479303.0
219,Tangerang,103.0,91.0,6.0,2.0,2231955.9899999998
220,Tangerang,169.0,88.0,5.0,3.0,2485177.2
221,Depok,165.0,83.0,2.0,2.0,2210257.0
222,Jakarta,124.0,112.0,9.0,1.0,2746235.45
223,Depok,162.0,93.0,7.0,2.0,2832355.0
224,Depok,153.0,89.0,2.0,2.0,2243767.0
225,Tangerang,133.0,121.0,3.0,2.0,2375437.68
226,Tangerang,161.0,149.0,6.0,1.0,3069690.03
227,Depok,148.0,136.0,3.0,2.0,2726745.0
228,Jakarta,142.0,123.0,6.0,1.0,2645637.43
229,Depok,195.0,135.0,9.0,2.0,3569917.0
230,Jakarta,177.0,139.0,7.0,2.0,3140090.0
231,Jakarta,159.0,116.0,5.0,2.0,2625325.32
232,Depok,131.0,125.0,6.0,1.0,2850832.0
233,Depok,103.0,91.0,9.0,1.0,2634024.0
234,Depok,117.0,59.0,2.0,1.0,1717021.0
235,Jakarta,82.0,70.0,5.0,3.0,1783309.53
236,Tangerang,191.0,151.0,7.0,1.0,3336377.2199999997
237,Jakarta,70.0,58.0,2.0,2.0,1312621.25
238,Jakarta,97.0,85.0,5.0,3.0,2030295.94
239,Jakarta,197.0,128.0,6.0,1.0,3010324.19
240,Tangerang,177.0,135.0,6.0,1.0,2998460.52
241,Jakarta,185.0,156.0,2.0,3.0,2956291.21
242,Jakarta,184.0,150.0,4.0,3.0,3052215.96
243,Jakarta,194.0,157.0,6.0,1.0,19607966.28
244,Tangerang,177.0,109.0,9.0,3.0,3156262.56
245,Jakarta,82.0,70.0,4.0,2.0,1684720.4
246,Tangerang,164.0,152.0,5.0,2.0,3089080.17
247,Tangerang,168.0,155.0,4.0,2.0,2987800.2
248,Depok,71.0,59.0,2.0,1.0,1422011.0
249,Depok,87.0,82.0,3.0,2.0,1881086.0
250,Depok,158.0,93.0,3.0,3.0,2459469.0
251,Tangerang,100.0,88.0,2.0,2.0,1831993.02
252,Depok,57.0,45.0,8.0,3.0,1928278.0
253,Depok,76.0,64.0,9.0,2.0,2286393.0
254,Depok,76.0,64.0,3.0,3.0,1735158.0
255,Tangerang,70.0,58.0,2.0,2.0,1409602.59
256,Jakarta,79.0,67.0,6.0,2.0,1846922.36
257,Depok,146.0,134.0,4.0,2.0,2823434.0
258,Depok,77.0,65.0,3.0,3.0,1701403.0
259,Depok,160.0,157.0,6.0,3.0,3374609.0
260,Depok,110.0,79.0,3.0,2.0,1942420.0
261,Tangerang,97.0,61.0,5.0,3.0,1837655.82
262,Jakarta,196.0,100.0,2.0,3.0,2394397.91
263,Jakarta,53.0,41.0,2.0,1.0,1017055.86
264,Depok,84.0,72.0,9.0,2.0,2370134.0
265,Jakarta,98.0,62.0,6.0,3.0,1881764.33
266,Depok,66.0,54.0,8.0,3.0,2080901.0
267,Depok,95.0,83.0,5.0,3.0,2254089.0
268,Jakarta,166.0,69.0,4.0,3.0,2156723.7
269,Jakarta,55.0,43.0,9.0,1.0,1719074.54
270,Tangerang,148.0,122.0,5.0,3.0,2722997.97
271,Depok,173.0,120.0,8.0,3.0,3296671.0
272,Jakarta,86.0,74.0,5.0,1.0,1788275.7
273,Tangerang,73.0,61.0,7.0,2.0,1924783.74
274,Jakarta,142.0,130.0,4.0,2.0,2635949.5100000002
275,Jakarta,95.0,83.0,9.0,1.0,2323233.31
276,Depok,144.0,92.0,4.0,2.0,2422278.0
277,Tangerang,148.0,57.0,5.0,2.0,2037354.66
278,Depok,165.0,62.0,9.0,1.0,2596562.0
279,Jakarta,116.0,104.0,3.0,3.0,2161321.22
280,Tangerang,177.0,84.0,7.0,1.0,2567625.39
281,Depok,67.0,55.0,3.0,1.0,1487962.0
282,Tangerang,74.0,62.0,5.0,1.0,1656513.54
283,Jakarta,103.0,64.0,3.0,1.0,1603442.67
284,Tangerang,107.0,95.0,4.0,1.0,2014910.3699999999
285,Jakarta,116.0,110.0,9.0,3.0,2847212.22
286,Depok,153.0,141.0,4.0,2.0,2881646.0
287,Jakarta,73.0,61.0,3.0,1.0,1436663.39
288,Jakarta,163.0,101.0,9.0,3.0,2981200.84
289,Tangerang,81.0,69.0,4.0,1.0,1719306.27
290,Tangerang,135.0,116.0,2.0,3.0,2287901.88
291,Depok,176.0,132.0,4.0,2.0,2947578.0
292,Tangerang,179.0,51.0,5.0,3.0,2213401.41
293,Depok,66.0,54.0,6.0,3.0,1838389.0
294,,153.0,77.0,3.0,2.0,2035037.8900000001
295,Jakarta,186.0,103.0,7.0,2.0,2840414.92
296,Tangerang,92.0,80.0,8.0,3.0,2312128.17
297,Jakarta,88.0,76.0,3.0,1.0,1598725.97
298,Jakarta,75.0,63.0,8.0,1.0,1915865.97
299,Depok,148.0,97.0,8.0,2.0,2830102.0
300,Tangerang,99.0,96.0,4.0,1.0,2066856.66
301,Depok,62.0,50.0,4.0,2.0,1604074.0
302,Jakarta,109.0,97.0,9.0,3.0,2662748.85
303,Jakarta,184.0,170.0,9.0,3.0,3801127.93
304,Jakarta,106.0,94.0,6.0,1.0,2207405.5
305,Tangerang,85.0,73.0,6.0,2.0,1949118.93
306,Jakarta,69.0,57.0,7.0,1.0,1758172.65
307,Jakarta,114.0,50.0,5.0,1.0,1705914.24
308,Depok,57.0,45.0,2.0,3.0,1331062.0
309,Tangerang,193.0,134.0,5.0,1.0,2950479.18
310,Jakarta,191.0,95.0,9.0,3.0,3084546.06
311,Depok,164.0,152.0,7.0,2.0,3412111.0
312,Jakarta,192.0,180.0,3.0,1.0,3155514.72
313,Depok,141.0,96.0,4.0,3.0,2468283.0
314,Jakarta,147.0,108.0,5.0,1.0,2443183.94
315,Tangerang,115.0,103.0,8.0,2.0,2666149.2
316,Tangerang,81.0,69.0,4.0,1.0,1683800.91
317,Depok,135.0,61.0,4.0,1.0,2014904.0
318,Jakarta,100.0,55.0,5.0,3.0,1756652.6
319,Tangerang,112.0,102.0,5.0,2.0,2262644.01
320,Jakarta,174.0,162.0,8.0,2.0,3509219.75
321,Tangerang,199.0,139.0,9.0,2.0,3479173.83
322,Depok,107.0,54.0,8.0,1.0,2136178.0
323,Tangerang,107.0,95.0,6.0,3.0,2315549.61
324,Jakarta,135.0,63.0,9.0,1.0,2374648.37
325,Jakarta,98.0,86.0,7.0,1.0,2212501.96
326,Jakarta,119.0,101.0,7.0,1.0,2460604.42
327,Depok,64.0,52.0,8.0,2.0,2009210.0
328,Depok,103.0,75.0,2.0,3.0,1842287.0
329,Jakarta,150.0,102.0,9.0,2.0,2898656.57
330,Jakarta,57.0,45.0,8.0,1.0,1659790.57
331,Tangerang,102.0,78.0,6.0,1.0,2028662.46
332,Tangerang,109.0,68.0,2.0,3.0,1715586.84
333,Tangerang,157.0,96.0,5.0,2.0,2508264.9899999998
334,Jakarta,54.0,42.0,7.0,1.0,1547261.42
335,Tangerang,152.0,72.0,7.0,1.0,2318613.66
336,Jakarta,55.0,43.0,2.0,3.0,1161513.1300000001
337,Depok,158.0,155.0,3.0,1.0,2919737.0
338,Tangerang,165.0,102.0,6.0,2.0,2619356.85
339,Jakarta,143.0,131.0,6.0,2.0,2818400.96
340,Jakarta,96.0,54.0,6.0,1.0,1783490.32
341,Depok,148.0,65.0,7.0,1.0,2379735.0
342,Depok,104.0,66.0,4.0,1.0,1880362.0
343,Depok,101.0,89.0,7.0,3.0,2497286.0
344,Depok,193.0,69.0,4.0,3.0,2459607.0
345,Tangerang,62.0,50.0,7.0,2.0,1774549.26
346,Depok,163.0,151.0,9.0,2.0,3612785.0
347,Jakarta,173.0,,5.0,1.0,3074940.96
348,Jakarta,155.0,50.0,7.0,1.0,2125035.96
349,Jakarta,196.0,107.0,9.0,1.0,3108567.9
350,Jakarta,194.0,142.0,9.0,3.0,3486476.57
351,Jakarta,169.0,55.0,5.0,3.0,19172446.2
352,Depok,112.0,100.0,9.0,1.0,2717852.0
353,Jakarta,68.0,56.0,4.0,1.0,1430968.0
354,Depok,141.0,99.0,6.0,2.0,2618203.0
355,Depok,107.0,95.0,4.0,3.0,2282678.0
356,Depok,139.0,127.0,2.0,1.0,2456853.0
357,Depok,166.0,137.0,6.0,3.0,3198362.0
358,Tangerang,111.0,69.0,7.0,1.0,2084310.3599999999
359,Tangerang,72.0,63.0,7.0,1.0,1904981.76
360,Tangerang,176.0,164.0,7.0,2.0,3413261.61
361,Tangerang,186.0,89.0,7.0,2.0,2754354.2399999998
362,Tangerang,189.0,83.0,7.0,2.0,2696595.66
363,Jakarta,178.0,173.0,4.0,1.0,3182613.02
364,Tangerang,107.0,94.0,8.0,2.0,2488170.96
365,Jakarta,171.0,129.0,5.0,1.0,2817389.95
366,Jakarta,50.0,38.0,8.0,3.0,1621872.1400000001
367,Depok,83.0,71.0,4.0,3.0,1891057.0
368,Depok,145.0,127.0,3.0,1.0,2625509.0
369,Depok,175.0,82.0,9.0,2.0,2913201.0
370,Tangerang,167.0,82.0,8.0,2.0,2677868.82
371,Jakarta,97.0,93.0,4.0,3.0,2034871.24
372,Tangerang,138.0,69.0,9.0,1.0,2458778.85
373,Depok,166.0,160.0,6.0,1.0,3326480.0
374,Depok,178.0,56.0,7.0,1.0,2438088.0
375,Jakarta,65.0,53.0,4.0,3.0,1509614.68
376,Jakarta,118.0,106.0,8.0,3.0,2669724.92
377,Depok,71.0,59.0,5.0,2.0,1839853.0
378,Tangerang,142.0,130.0,8.0,1.0,2979802.98
379,Tangerang,125.0,103.0,7.0,1.0,2563833.69
380,Jakarta,193.0,87.0,8.0,1.0,2735825.38
381,Depok,135.0,123.0,2.0,1.0,
382,Tangerang,78.0,66.0,3.0,3.0,1651274.46
383,Jakarta,118.0,81.0,6.0,2.0,2190209.24
384,Jakarta,96.0,94.0,5.0,3.0,2190849.58
385,Jakarta,143.0,110.0,3.0,2.0,2273124.18
386,Tangerang,193.0,102.0,4.0,1.0,2577875.85
387,Jakarta,134.0,122.0,3.0,1.0,2293472.65
388,Tangerang,88.0,76.0,7.0,1.0,2094571.71
389,Jakarta,149.0,76.0,7.0,1.0,2324147.36
390,Tangerang,82.0,70.0,2.0,1.0,1536172.11
391,Depok,150.0,67.0,9.0,3.0,2764540.0
392,Tangerang,72.0,60.0,3.0,2.0,1470468.78
393,Depok,59.0,47.0,8.0,3.0,1969113.0
394,Jakarta,118.0,106.0,3.0,1.0,2031391.79
395,Tangerang,149.0,126.0,7.0,2.0,2897745.84
396,Jakarta,83.0,71.0,9.0,2.0,2227671.15
397,Depok,187.0,153.0,4.0,,3139725.0
398,Jakarta,196.0,98.0,4.0,2.0,2558854.19
399,Jakarta,145.0,133.0,6.0,3.0,2855408.37
400,Jakarta,50.0,38.0,8.0,3.0,1607977.57
401,Depok,118.0,106.0,8.0,3.0,2821281.0
402,Depok,53.0,41.0,4.0,3.0,1446716.0
403,Tangerang,65.0,53.0,3.0,2.0,1347918.66
404,Tangerang,73.0,61.0,2.0,3.0,1469825.28
405,Tangerang,129.0,117.0,4.0,2.0,2429022.42
406,Tangerang,51.0,39.0,8.0,1.0,1605745.35
407,Jakarta,177.0,54.0,8.0,3.0,2482168.93
408,Depok,133.0,68.0,7.0,1.0,2331469.0
409,Depok,189.0,67.0,7.0,3.0,2748280.0
410,Jakarta,173.0,170.0,6.0,1.0,3258520.58
411,Tangerang,82.0,81.0,9.0,1.0,2310244.2
412,Depok,150.0,138.0,6.0,1.0,3057345.0
413,Jakarta,61.0,59.0,3.0,1.0,1260547.67
414,,116.0,86.0,4.0,1.0,2002096.74
415,Tangerang,114.0,102.0,4.0,2.0,2201969.88
416,Tangerang,123.0,62.0,6.0,2.0,2026744.83
417,Depok,92.0,80.0,4.0,3.0,2031871.0
418,Depok,93.0,58.0,3.0,2.0,1650179.0
419,Tangerang,78.0,66.0,2.0,1.0,1454200.11
420,Depok,190.0,95.0,9.0,2.0,3123165.0
421,Tangerang,61.0,49.0,7.0,2.0,1765150.2
422,Jakarta,144.0,132.0,3.0,1.0,2470827.64
423,Jakarta,95.0,68.0,,2.0,1677528.19
424,Jakarta,179.0,143.0,3.0,1.0,2757312.12
425,Depok,84.0,75.0,7.0,2.0,2251092.0
426,Tangerang,130.0,95.0,5.0,1.0,2305261.53
427,Jakarta,139.0,127.0,8.0,3.0,2992228.02
428,Jakarta,57.0,45.0,7.0,2.0,1597478.62
429,Depok,142.0,63.0,8.0,3.0,2573690.0
430,Depok,139.0,134.0,7.0,1.0,3007294.0
431,Jakarta,164.0,112.0,5.0,1.0,2593954.72
432,Depok,154.0,121.0,4.0,3.0,2772662.0
433,Depok,184.0,52.0,4.0,1.0,2172114.0
434,Depok,107.0,77.0,9.0,1.0,2534532.0
435,Depok,163.0,151.0,2.0,1.0,2837658.0
436,Tangerang,124.0,112.0,7.0,1.0,2653879.14
437,Depok,169.0,157.0,3.0,1.0,3057741.0
438,Depok,70.0,58.0,2.0,1.0,1435006.0
439,Tangerang,187.0,125.0,4.0,1.0,2729725.02
440,Depok,150.0,138.0,4.0,1.0,2810556.0
441,Depok,148.0,136.0,9.0,3.0,3387411.0
442,Jakarta,85.0,73.0,9.0,2.0,2267955.0
443,Jakarta,145.0,108.0,9.0,1.0,2796433.46
444,Jakarta,86.0,74.0,6.0,3.0,1972962.28
445,Tangerang,61.0,49.0,2.0,1.0,1155329.01
446,Depok,162.0,144.0,4.0,2.0,3014712.0
447,Tangerang,62.0,50.0,5.0,1.0,1475457.39
448,Tangerang,72.0,60.0,8.0,3.0,1998303.1199999999
449,Depok,148.0,136.0,6.0,3.0,3088381.0
450,Depok,154.0,142.0,3.0,2.0,2813354.0
451,Jakarta,79.0,67.0,8.0,1.0,1951031.1400000001
452,Depok,66.0,54.0,6.0,3.0,1826777.0
453,Tangerang,162.0,82.0,9.0,2.0,2714620.59
454,Jakarta,111.0,99.0,7.0,2.0,16672063.94
455,Tangerang,133.0,128.0,7.0,1.0,2857532.04
456,Depok,161.0,65.0,3.0,3.0,2114270.0
457,Jakarta,135.0,93.0,5.0,1.0,2233177.67
458,Depok,190.0,169.0,3.0,1.0,3193866.0
459,Jakarta,68.0,56.0,2.0,1.0,1174659.29
460,Jakarta,149.0,137.0,8.0,3.0,3134919.81
461,Jakarta,189.0,177.0,3.0,2.0,3247037.89
462,Depok,196.0,53.0,3.0,1.0,2062940.0
463,Jakarta,125.0,105.0,6.0,1.0,2362496.05
464,Jakarta,58.0,46.0,5.0,3.0,1509543.98
465,Depok,77.0,65.0,3.0,1.0,1679580.0
466,Tangerang,177.0,105.0,2.0,2.0,19004483.52
467,Depok,101.0,81.0,6.0,1.0,2187789.0
468,Depok,132.0,120.0,5.0,2.0,16039308.0
469,Jakarta,160.0,58.0,5.0,1.0,1967364.86
470,Depok,193.0,154.0,4.0,1.0,3172129.0
471,Depok,166.0,127.0,7.0,1.0,3085380.0
472,Depok,118.0,106.0,8.0,2.0,2751508.0
473,Jakarta,148.0,70.0,2.0,1.0,1774879.06
474,Depok,189.0,104.0,7.0,1.0,3012507.0
