,Brand,Engine Size,Horsepower,Mileage,Price
63,Honda,4,387,55276,120764.4
64,BMW,5,380,166080,146913.6
65,Toyota,2,268,44023,71408.7
66,Honda,3,106,104985,45966.5
67,Honda,5,341,66587,120698.3
68,Toyota,4,279,19556,96650.4
69,BMW,5,103,132272,85622.16
70,Honda,5,347,61761,121569.9
71,BMW,5,125,111352,93827.76
72,BMW,4,105,62983,80996.04
73,Honda,5,326,64353,118159.7
74,Toyota,5,388,48804,124010.6
75,BMW,5,338,169382,132971.76
76,BMW,1,367,2664,112059.12000000001
77,Honda,5,315,133157,109037.3
78,Honda,4,234,131537,83525.3
79,Toyota,3,285,117947,78063.3
80,BMW,1,270,2610,90674.4
81,Toyota,2,235,149823,54174.7
82,BMW,2,156,86015,66293.4
83,Honda,4,362,174349,104870.1
84,BMW,1,274,127518,78216.23999999999
85,Toyota,1,367,12371,86368.9
86,Toyota,2,199,169262,46312.8
87,BMW,3,357,136204,120090.72
88,Honda,5,144,92081,78089.9
89,BMW,3,290,152876,101800.07999999999
90,Honda,1,374,188925,432495.0
91,Honda,4,275,78835,93214.5
92,Honda,3,368,174268,95783.2
93,Honda,3,154,190410,48136.0
94,Honda,1,383,178477,76390.3
95,Honda,2,270,147988,64550.2
96,BMW,1,214,4699,77649.72
97,Honda,3,171,177559,54612.1
98,Honda,3,387,70818,105788.2
99,Honda,4,248,173218,79208.2
100,Honda,3,360,136766,96594.4
101,Toyota,4,102,486,60436.4
102,Toyota,3,324,90176,89086.4
103,Toyota,2,257,81340,63372.0
104,BMW,3,231,148282,89852.16
105,Toyota,4,164,109561,63545.9
106,BMW,4,157,44268,92540.64
107,BMW,4,168,84403,93561.23999999999
108,Toyota,3,111,179555,38635.5
109,Toyota,4,385,1291,118118.9
110,BMW,5,326,103958,140661.84
111,Toyota,2,291,12732,79461.8
112,BMW,3,148,173325,66405.0
113,Honda,4,199,27902,82250.8
114,Toyota,2,133,42364,42683.6
115,Honda,3,127,13353,59526.7
116,Honda,2,132,181733,37773.7
117,BMW,5,112,166135,79602.59999999999
118,Honda,3,359,184712,90387.8
119,Toyota,4,218,141249,71588.1
120,Toyota,1,281,183527,51946.3
121,BMW,4,196,189926,87007.68
122,Honda,3,328,125465,89367.5
123,Toyota,4,186,68113,71087.7
124,Honda,1,191,10965,53616.5
125,BMW,1,259,57708,80880.23999999999
126,Honda,1,305,31426,75938.4
127,BMW,4,170,41444,98278.32
128,Honda,3,107,24332,56114.8
129,Toyota,4,321,101376,96224.4
130,BMW,1,199,76995,67695.0
131,Honda,5,385,25700,133508.0
132,BMW,1,353,142270,96033.59999999999
133,Honda,1,378,175221,73922.9
134,Honda,3,272,4602,89737.8
135,BMW,4,326,98497,131241.96
136,BMW,3,325,53160,123586.79999999999
137,Toyota,4,219,103751,77315.9
138,Honda,1,151,158684,31669.6
139,Honda,1,313,95231,72993.9
140,Toyota,1,236,20101,58798.9
141,BMW,4,215,5725,110994.59999999999
142,BMW,1,140,81862,50060.16
143,Toyota,3,262,7125,82805.5
144,Toyota,3,221,119421,67183.9
145,BMW,1,383,149992,810391.68
146,Honda,5,214,159886,82930.4
147,Honda,4,137,139446,536772.6
148,BMW,5,174,81954,106505.52
149,BMW,1,185,44972,63384.96
150,Toyota,5,355,84655,117122.5
151,Honda,4,222,22176,91504.4
152,Toyota,4,347,133851,98950.9
153,Honda,5,242,73868,97373.2
154,Honda,2,218,41535,67028.5
155,Honda,4,326,150991,99715.9
156,Honda,1,123,50251,37639.9
157,BMW,1,319,122092,623925.12
158,Honda,1,203,108721,47979.9
159,BMW,2,244,132512,81965.76
160,Toyota,1,327,186177,61034.3
161,BMW,5,309,189774,127948.32
162,BMW,2,193,44841,77372.28
163,BMW,4,268,109025,114858.59999999999
164,Honda,2,361,64315,94343.5
165,Toyota,1,257,107093,55189.7
166,Toyota,1,325,71931,69844.9
167,Toyota,5,145,130986,69380.4
168,BMW,4,115,163813,71666.04
169,BMW,4,201,94227,679310.5199999999
170,BMW,2,346,163211,104654.27999999998
171,Honda,1,377,136836,78945.4
172,Toyota,1,363,70409,77447.1
173,BMW,2,334,86811,547265.4
174,BMW,3,119,195407,54798.36
175,BMW,1,183,45761,67345.08
176,Honda,4,167,108544,71246.6
177,Toyota,2,304,122192,68738.8
178,Toyota,2,179,34376,56039.4
179,BMW,5,298,172774,127066.32
180,BMW,1,106,91860,40683.6
181,Honda,1,306,38651,76431.9
182,Toyota,4,295,110642,88216.8
183,BMW,3,319,68864,118255.92
184,Honda,4,194,90449,79180.1
185,Toyota,3,131,17009,55422.1
186,Honda,5,215,17608,97751.2
187,BMW,4,203,35849,107984.52
188,Toyota,4,260,193883,73336.7
189,BMW,1,244,109385,72294.59999999999
190,Toyota,4,365,9586,114426.4
191,Honda,1,267,145799,54018.1
192,Honda,5,182,37885,91768.5
193,BMW,3,110,68845,71151.0
194,BMW,4,259,59519,120519.72
195,Honda,5,144,113531,76767.9
196,Honda,1,195,139198,41940.2
197,Honda,3,268,59955,83096.5
198,Honda,4,338,158123,99378.7
199,Honda,4,319,90029,101502.1
200,Toyota,2,344,102193,80811.7
201,BMW,4,191,128351,90712.68
202,Honda,5,355,56281,123809.9
203,Honda,4,140,6704,75804.6
204,BMW,4,238,67045,109659.0
205,BMW,2,280,97998,94037.04
206,Toyota,2,297,13093,79667.7
207,BMW,2,190,80304,75574.31999999999
208,Honda,4,264,196035,79674.5
209,Toyota,3,278,98794,79458.6
210,Toyota,3,339,177707,81733.3
211,Honda,5,376,177850,115830.0
212,Honda,4,201,108062,78151.8
213,Toyota,2,284,105928,67793.2
214,BMW,3,246,81542,97544.16
215,Honda,4,128,177732,57117.8
216,BMW,2,149,42654,71677.92
217,BMW,5,279,175612,120672.95999999999
218,Honda,3,346,162135,91810.5
219,Toyota,3,308,110961,80904.9
220,Honda,1,213,157366,46264.4
221,Honda,2,364,98681,91670.9
222,Toyota,1,361,9916,84329.4
223,Honda,5,143,91329,77635.1
224,BMW,1,296,43378,92861.04
225,Toyota,4,141,132904,57163.6
226,BMW,3,116,141703,60660.84
227,BMW,1,316,49481,97066.68
228,BMW,1,281,85886,83296.07999999999
229,Toyota,2,382,121639,85221.1
230,BMW,2,157,185330,52476.0
231,BMW,1,365,194797,91038.36
232,BMW,4,148,137096,84133.68
233,Honda,1,184,199964,34340.6
234,BMW,4,190,67088,102395.04
235,Toyota,1,100,95764,24433.6
236,BMW,5,305,121092,133683.36
237,Toyota,5,231,34211,93992.9
238,BMW,1,110,54075,46446.6
239,BMW,2,308,73210,103849.2
240,Toyota,4,287,155112,82826.8
241,Toyota,5,102,12751,73445.9
242,Toyota,4,256,148078,76527.2
243,Honda,3,284,6499,94913.1
244,Toyota,2,362,10145,92708.5
245,Toyota,2,117,5452,43079.8
246,Honda,3,376,109774,102843.6
247,Toyota,2,246,101554,59401.6
248,Toyota,5,297,77666,102708.4
249,Toyota,3,311,110275,84743.5
250,Toyota,5,149,170373,65901.7
251,Honda,5,101,5023,76704.7
252,Toyota,3,243,53298,76380.2
253,Toyota,4,398,110568,110082.2
254,Honda,4,201,71756,78380.4
255,BMW,2,343,64192,112400.16
256,Honda,3,360,6170,111302.0
257,Honda,5,130,64599,76232.1
258,BMW,4,220,144398,95606.64
259,BMW,4,226,44623,110495.64
260,BMW,2,323,111259,104289.72
261,Toyota,2,398,98583,91343.7
262,Toyota,2,217,149611,48850.9
263,Honda,2,356,181125,81453.5
264,Toyota,3,228,162562,63952.8
265,Toyota,1,326,193716,58234.399999999994
266,BMW,4,382,7111,156086.28
267,BMW,2,325,153697,99105.96
268,Toyota,5,341,51871,114203.9
269,BMW,4,229,177692,98982.96
270,Toyota,2,160,160651,37336.9
271,Toyota,2,323,139127,72667.3
272,BMW,3,225,93931,92717.87999999999
273,BMW,1,270,140148,697001.7599999999
274,BMW,1,191,43675,65681.4
275,Toyota,3,312,133207,80300.3
276,Honda,5,375,14831,129979.9
277,Toyota,1,311,163028,58501.2
278,Honda,5,224,182718,84306.2
279,Toyota,4,373,78435,108158.5
280,Honda,4,296,70906,97178.4
281,BMW,1,103,156028,30930.239999999994
282,Honda,1,156,15619,47838.1
283,BMW,4,298,113783,118239.23999999999
284,Toyota,4,292,85153,92081.7
285,Toyota,1,218,164326,39607.399999999994
286,BMW,4,134,153915,79240.2
287,Honda,1,227,63550,56873.0
288,Toyota,3,130,159859,44525.1
289,Honda,2,373,181977,81783.3
290,BMW,1,292,43194,90727.92
291,Toyota,5,352,162330,107290.0
292,Honda,1,295,196059,57696.1
293,Toyota,4,287,177218,80639.2
294,Honda,5,201,107388,86865.2
295,BMW,5,315,85651,139073.87999999998
296,Honda,2,359,122208,85916.2
297,Toyota,1,362,82649,75130.1
298,Honda,3,301,43995,90902.5
299,Toyota,5,372,150028,113210.2
300,Honda,5,220,167805,82766.5
301,BMW,3,375,137131,126998.27999999998
302,Honda,5,183,25924,91833.6
303,Toyota,4,376,185349,101009.1
304,Toyota,3,333,197174,78439.6
305,BMW,4,386,99890,141192.0
306,Toyota,1,267,198036,46512.399999999994
307,Toyota,1,185,141117,34600.3
308,BMW,1,209,38555,74607.0
309,Honda,4,136,64899,67248.1
310,Toyota,5,229,176226,79695.4
311,BMW,5,103,59761,94748.27999999998
312,Honda,3,270,157129,76465.1
313,Toyota,3,120,151486,41099.4
314,BMW,5,207,177955,845323.2
315,BMW,2,185,112641,66905.88
316,Honda,4,308,56749,103445.1
317,BMW,4,350,75617,137184.36
318,BMW,4,164,158170,81668.4
319,BMW,2,236,53196,90768.48
320,Honda,3,204,55832,71079.8
321,Honda,3,360,21655,108311.5
322,BMW,4,103,142177,72336.36
323,Honda,3,358,174216,92091.4
324,BMW,4,361,155807,131180.76
325,Honda,5,281,35268,112179.2
326,BMW,5,141,110379,94725.72
327,Toyota,3,237,196539,57860.1
328,Honda,2,366,180107,83480.3
329,Toyota,3,383,94941,97202.9
330,BMW,1,203,128541,58844.28
331,Toyota,4,261,194449,73514.1
332,BMW,1,184,48233,65583.23999999999
333,BMW,3,107,49604,69489.12
334,Toyota,5,318,194956,97286.4
335,Toyota,4,186,180870,59212.0
336,Toyota,3,107,2957,55495.3
337,Toyota,2,211,180595,48608.5
338,Toyota,3,326,44462,93489.8
339,Honda,2,339,59342,91394.8
340,Honda,5,210,57837,93316.3
341,Honda,2,368,83507,93131.3
342,Toyota,1,375,99432,78090.8
343,Toyota,1,122,144491,20443.9
344,BMW,1,306,97862,90419.76
345,Honda,1,322,170050,64166.0
346,Honda,1,377,112400,80121.0
347,Toyota,2,308,80792,77249.8
348,BMW,1,246,196354,64951.92
349,Toyota,4,181,103959,68648.1
350,Toyota,2,365,75359,89001.1
351,Toyota,5,194,106410,82672.0
352,BMW,2,360,46474,119227.92
353,BMW,3,272,119029,100975.32
354,Toyota,5,261,186117,504277.80000000005
355,Honda,1,243,33886,63106.4
356,Toyota,1,354,35849,79736.1
357,Honda,3,294,135935,84738.5
358,Toyota,1,268,140406,53195.4
359,Honda,5,244,156909,88355.1
360,Toyota,5,177,43850,85209.0
361,Toyota,5,249,60336,98560.4
362,BMW,2,181,180186,62507.27999999999
363,Toyota,2,211,56001,59383.9
364,Toyota,5,157,144636,68394.4
365,Toyota,2,137,155516,32611.4
366,BMW,2,302,183208,87248.64
367,Toyota,4,358,146739,97264.1
368,Honda,2,220,4051,73375.9
369,Toyota,4,315,153003,89097.7
370,Toyota,4,298,194542,80193.8
371,BMW,2,120,168595,45706.2
372,Toyota,2,120,129132,34221.8
373,Toyota,2,289,158918,64562.2
374,Honda,1,149,70516,40962.4
375,Toyota,4,344,33249,109502.1
376,Honda,1,278,129622,59339.8
377,Toyota,5,307,110240,105102.0
378,Honda,2,395,193868,85992.2
379,Toyota,5,373,73602,826054.6
380,Honda,1,126,148807,26903.3
381,Honda,4,129,11011,72351.9
382,Toyota,3,239,45568,74641.2
383,BMW,2,330,119634,102930.72
384,Toyota,5,353,149712,107722.8
385,Honda,5,335,146715,107574.5
386,Toyota,5,148,71892,75992.8
387,Honda,1,219,47098,58485.2
388,Toyota,1,330,59245,73491.5
389,BMW,3,151,96195,76021.8
390,Toyota,1,103,50661,30524.9
391,Toyota,4,104,69970,58067.0
392,BMW,4,181,59888,100043.04
393,Honda,5,326,181061,105851.9
394,BMW,2,295,166386,90668.87999999999
395,Honda,5,149,113173,74262.7
396,BMW,4,213,12391,113174.27999999998
397,BMW,4,247,156450,105867.59999999999
398,Toyota,4,395,189226,101370.4
399,Toyota,5,225,85529,91386.1
400,Honda,3,321,143202,85824.8
401,Toyota,2,300,84187,75449.3
402,Honda,3,226,67048,75734.2
403,BMW,3,198,154878,77234.64
404,Toyota,2,287,60991,74033.9
405,BMW,4,313,84518,1004085.1199999999
406,BMW,4,338,82125,133481.4
407,BMW,5,105,39214,94217.52
408,Honda,5,168,46175,86817.5
409,Honda,3,136,77361,56502.9
410,Toyota,2,224,185163,49791.7
411,Toyota,2,139,69363,45686.7
412,Honda,1,218,198989,332944.8
413,Honda,1,185,144702,38367.8
414,BMW,3,349,175746,115841.27999999998
415,Toyota,5,264,158339,89778.1
416,Honda,4,274,70684,93456.6
417,Toyota,4,304,62937,95930.3
418,BMW,3,305,22981,123975.47999999998
419,Toyota,2,295,40205,76887.5
420,Honda,1,273,152114,59322.6
421,Honda,5,140,864,86071.6
422,BMW,2,205,144947,67838.76
423,Toyota,5,284,10965,110457.5
424,Honda,5,386,182098,117277.2
425,Toyota,3,382,15452,104944.8
426,Honda,1,142,182313,28124.7
427,BMW,1,303,10646,99353.27999999998
428,BMW,4,221,143565,97189.8
429,BMW,2,247,182316,78479.27999999998
430,Honda,2,200,115222,54132.8
431,BMW,1,152,105024,51823.92
432,Toyota,5,333,5666,117298.4
433,Honda,4,341,83455,109068.5
434,Toyota,4,336,143855,468727.5
435,Honda,5,331,175132,107945.8
436,Toyota,4,209,89619,73926.1
437,Honda,5,321,17045,121369.5
438,Honda,4,113,121456,57293.4
439,Honda,1,290,160555,60531.5
440,Honda,4,218,9150,91575.0
441,BMW,4,377,66576,145246.08
442,Honda,2,175,72475,54135.5
443,BMW,4,301,82728,122907.84
444,Toyota,5,367,146387,113248.3
445,Toyota,1,235,165338,43311.2
446,BMW,4,256,8395,121236.59999999999
447,Honda,1,243,33965,60462.5
448,Toyota,1,249,115071,53223.9
449,BMW,4,381,12140,151290.0
450,Toyota,2,316,85166,75677.4
451,BMW,3,301,92207,113959.56
452,Honda,4,173,100079,71656.1
453,Toyota,3,351,94841,94730.9
454,Honda,4,229,153446,77334.4
455,Toyota,1,220,96521,48434.9
456,Toyota,4,331,97643,100546.7
457,Honda,3,392,199269,96338.1
458,BMW,1,320,189192,81242.16
459,Honda,4,143,128408,62009.2
460,Honda,2,295,5736,85529.4
461,Honda,5,109,110842,67618.8
462,Honda,4,263,183681,80323.9
463,Honda,2,106,150681,33592.9
464,Honda,3,330,100675,91068.5
465,Toyota,2,181,44573,54766.7
466,BMW,5,185,3758,120020.63999999998
467,BMW,2,225,97993,78297.23999999999
468,BMW,4,303,125235,117942.59999999999
469,Honda,2,396,27090,103904.0
470,Toyota,4,363,85915,949846.5
471,Toyota,3,127,115257,46039.3
472,Honda,5,397,114616,123447.4
473,Honda,2,302,105176,79744.4
474,BMW,5,328,147037,136356.36
475,Toyota,2,393,27958,96628.2
476,Toyota,5,196,174389,73804.1
477,Toyota,2,105,53647,39661.3
478,Honda,3,352,7774,107295.6
479,BMW,3,301,36557,115931.16
480,BMW,4,143,52843,91292.04
481,Toyota,2,394,21518,100619.2
482,BMW,3,188,99464,83023.92
483,Honda,3,232,67076,77315.4
484,BMW,5,174,78326,106704.48
485,BMW,3,317,123449,110496.12000000001
486,Toyota,3,224,1118,77027.2
487,Honda,4,275,46862,98633.8
488,Toyota,1,127,21881,35711.9
489,Toyota,5,189,185258,70196.2
490,Honda,3,127,154849,46629.1
491,Toyota,1,230,74152,49362.8
492,Toyota,1,101,73825,25238.5
493,BMW,3,364,88378,130236.23999999999
494,Toyota,4,156,81662,63101.8
495,Toyota,2,160,42093,50696.7
496,Toyota,4,121,18215,64661.5
497,BMW,3,229,23580,104350.8
498,Honda,5,161,171871,74363.9
499,BMW,2,104,93933,49901.63999999999
500,Toyota,2,373,41013,95180.7
501,BMW,3,231,27132,103904.16
502,BMW,3,386,171401,125499.47999999998
503,BMW,5,272,18275,137004.6
504,BMW,4,187,3556,109991.27999999998
505,Honda,5,180,53417,88585.3
506,Honda,3,227,23448,81208.2
507,Toyota,5,191,40547,86885.3
508,Toyota,3,115,43816,50996.4
509,BMW,2,124,58630,64549.2
510,Toyota,5,357,165521,109226.9
511,Toyota,1,280,110444,340491.6
512,Toyota,2,366,67960,87928.0
513,BMW,1,229,60875,74663.4
514,Honda,3,174,42555,556852.0
515,Honda,1,141,30951,41166.9
516,Toyota,4,206,149048,69490.2
517,Honda,3,129,188100,42789.0
518,Honda,1,176,36981,280919.4
519,Toyota,3,292,21877,89554.3
520,Honda,4,166,81372,74233.8
521,Honda,1,169,151353,34107.7
522,Toyota,1,116,61201,28828.9
523,Honda,2,114,4105,50131.5
524,BMW,1,110,113052,41438.16
525,Honda,1,232,11176,64966.4
526,Toyota,3,106,151251,38938.9
527,Honda,4,208,95853,78721.7
528,Honda,5,251,82249,98368.1
529,BMW,4,185,164122,85940.16
530,Toyota,4,360,98454,103115.6
531,Toyota,1,155,133103,29898.699999999997
532,BMW,5,204,42184,121087.92
533,Honda,5,357,98408,117627.2
534,BMW,4,305,94261,127781.87999999999
535,BMW,3,271,145551,97034.27999999998
536,BMW,5,141,12698,106181.04
537,Honda,5,204,179374,78721.6
538,BMW,4,177,1565,105501.0
539,Toyota,2,139,35723,45131.7
540,Honda,5,362,56762,123502.8
541,Toyota,4,396,147643,106817.7
542,Toyota,2,117,60145,40225.5
543,Honda,4,230,111918,82872.2
544,Honda,4,206,32903,84463.7
545,Honda,3,295,62714,91833.6
546,Toyota,1,352,164369,65523.1
547,Honda,2,225,110856,63498.4
548,BMW,1,142,140702,44268.96
549,Honda,2,316,83184,83471.6
550,Honda,2,224,142986,57851.4
551,BMW,5,103,42338,91998.23999999999
552,Honda,3,182,187116,56179.399999999994
553,Toyota,3,331,73199,93473.1
554,BMW,4,201,88125,98566.2
555,Toyota,1,287,81949,59913.1
556,BMW,4,379,162919,136575.72
557,Honda,3,181,119966,63947.4
558,Toyota,4,188,59470,73305.0
559,BMW,3,114,158472,304228.8
560,Honda,3,232,197762,62714.8
561,Honda,2,220,79611,65866.9
562,Toyota,4,130,7320,67990.0
563,BMW,2,192,147754,68209.92
564,BMW,4,281,198082,966921.8400000001
565,Toyota,3,326,33495,93422.5
566,Honda,3,389,197222,94293.8
567,BMW,5,134,188540,82538.4
568,BMW,2,285,54882,102678.96
569,Toyota,1,249,189769,373986.89999999997
570,Honda,4,181,57886,77849.4
571,Honda,1,114,121745,30102.5
572,BMW,5,335,181660,131518.8
573,Honda,3,124,41363,57497.7
574,Honda,2,355,59889,90758.1
575,Toyota,1,354,84493,73496.7
576,Toyota,2,360,143532,79426.8
577,Honda,3,356,147405,92902.5
578,Honda,2,180,13321,60602.9
579,Honda,2,390,79093,99059.7
580,Honda,4,199,174018,69103.2
581,Honda,1,221,88439,54704.1
582,Honda,5,172,134834,77992.6
583,Toyota,2,193,135732,46481.8
584,Toyota,2,127,21446,44890.4
585,BMW,5,173,89012,106329.36
586,BMW,1,281,1701,91610.27999999998
587,BMW,3,265,112153,103745.64
588,Honda,4,281,9117,100607.3
589,Honda,5,152,197256,67863.4
590,BMW,2,249,185094,79069.92
591,Toyota,3,249,80206,75144.4
592,Toyota,4,272,149242,83705.8
593,Honda,5,399,24881,133051.9
594,Honda,2,263,13005,76928.5
595,BMW,1,128,177065,39101.4
596,Honda,5,188,152546,80620.4
597,BMW,2,232,11246,91097.27999999998
598,Honda,3,165,39105,67362.5
599,Honda,5,381,101432,123084.8
600,BMW,4,124,44806,87965.27999999998
601,Toyota,1,264,46706,61994.4
602,Toyota,5,398,41720,129080.0
603,BMW,5,115,107175,91595.4
604,Toyota,1,140,135558,25557.199999999997
605,Honda,3,100,98009,46742.1
606,Toyota,4,240,74444,82210.6
607,Toyota,2,357,161212,76877.8
608,Toyota,3,148,7805,62509.5
609,Honda,2,288,41153,80030.7
610,Toyota,4,303,11070,101450.0
611,Honda,3,225,26552,79134.8
612,Toyota,5,175,15197,86383.3
613,BMW,3,335,33242,126610.56
614,Honda,2,294,116923,73498.7
615,Toyota,5,312,93278,105597.2
616,BMW,1,253,115864,74341.92
617,BMW,3,392,32032,143453.76
618,Honda,3,356,155516,93630.4
619,Toyota,5,326,106157,109569.3
620,Toyota,3,284,127346,78625.4
621,Toyota,5,123,166726,59387.399999999994
622,BMW,1,273,109718,698438.1599999999
623,Honda,3,244,182546,66912.4
624,Toyota,2,159,197102,35806.8
625,Honda,3,169,182608,55139.2
626,Toyota,5,112,47931,72273.9
627,Toyota,5,358,83260,117552.0
628,Honda,2,271,11704,82680.6
629,BMW,2,149,188426,53887.67999999999
630,Toyota,5,198,38736,86250.4
631,BMW,5,163,21548,113481.84
632,BMW,3,348,15039,130808.52
633,BMW,5,262,125027,122827.56
634,Honda,2,387,91002,96480.8
635,Honda,3,155,109782,56862.8
636,Toyota,5,183,68425,83217.5
637,Honda,1,394,23999,95904.1
638,Toyota,2,286,44799,77480.1
639,BMW,1,163,88424,57156.719999999994
640,Honda,3,187,149502,60138.8
641,BMW,2,173,20275,76407.0
642,BMW,3,162,79893,81650.04
643,Toyota,4,250,155758,75850.2
644,Toyota,2,219,61342,59893.8
645,BMW,3,338,120418,115086.23999999999
646,Honda,1,161,193240,30719.0
647,BMW,3,305,124357,106301.16
648,BMW,5,253,88614,122890.32
649,Honda,5,134,104747,71754.3
650,Honda,1,113,169822,22491.8
651,BMW,3,318,103753,113696.04
652,Toyota,2,133,129991,37833.9
653,Honda,1,284,190603,56027.7
654,Honda,3,341,23578,105034.2
655,Honda,4,281,86628,93678.2
656,BMW,5,340,73068,145290.24
657,BMW,1,152,10359,62305.31999999999
658,BMW,3,200,22822,97692.96
659,BMW,4,308,17142,134436.96
660,Honda,5,257,129872,93547.8
661,Toyota,4,242,1010,91063.0
662,BMW,1,391,152869,102765.72
663,BMW,3,325,135747,115521.96
664,BMW,4,109,23601,86045.87999999999
665,Honda,4,193,3690,83544.0
666,Toyota,4,178,39255,75654.5
667,Honda,2,235,105379,63380.1
668,Toyota,4,357,67381,108938.9
669,Honda,3,334,58985,96397.5
670,Toyota,3,337,149853,85793.7
671,Honda,3,302,67410,92502.0
672,Honda,5,242,150471,89981.9
673,BMW,4,192,81100,97510.8
674,BMW,1,276,170720,75388.8
675,Toyota,5,329,112712,105036.8
676,Honda,2,336,7387,92871.3
677,Toyota,3,216,78512,68759.8
678,BMW,2,211,126458,75483.84
679,BMW,5,378,165405,148471.8
680,Honda,2,122,106583,38790.7
681,BMW,5,122,170482,83867.76
682,Honda,2,213,113271,58139.9
683,BMW,3,243,30669,103773.72
684,Toyota,4,353,20529,112343.1
685,BMW,3,256,86568,102713.04
686,Toyota,3,252,77790,76323.0
687,Toyota,3,397,144993,97828.7
688,Honda,4,363,16803,120515.7
689,Toyota,3,137,142800,43874.0
690,BMW,5,363,61483,155658.84
691,BMW,2,281,66651,96635.87999999999
692,BMW,4,228,176268,98514.23999999999
693,Toyota,1,335,191561,61662.899999999994
694,Honda,5,320,107644,110104.6
695,Honda,4,226,113099,80167.1
696,Toyota,2,257,58754,70381.6
697,BMW,4,168,55389,98828.52
698,Honda,5,109,124838,66799.2
699,Toyota,5,235,175356,79523.4
700,BMW,1,194,73114,66007.92
701,BMW,3,209,18512,101015.76
702,Toyota,2,355,128455,82057.5
703,Honda,5,134,197097,63805.3
704,Honda,5,211,142938,86562.2
705,BMW,2,205,141897,73548.36
706,Honda,5,273,159307,97011.3
707,Honda,1,335,185283,64424.7
708,BMW,1,316,14919,102052.92
709,Toyota,3,243,53365,73689.5
710,Toyota,4,155,31779,72789.1
711,BMW,2,250,107899,88106.52
712,BMW,1,246,38273,82157.64
713,Toyota,1,110,100143,25731.699999999997
714,Toyota,1,355,157916,67408.4
715,Toyota,1,126,81691,27032.9
716,Honda,3,108,137811,43353.9
717,Toyota,5,262,137140,557262.0
718,Honda,1,266,154612,53932.8
719,BMW,3,227,161179,86858.52
720,BMW,4,126,111350,78922.8
721,BMW,5,242,21000,129814.79999999999
722,Toyota,4,260,74412,85058.8
723,BMW,5,151,128781,96119.87999999999
724,Honda,5,331,184194,105544.6
725,BMW,5,200,5433,124818.84
726,BMW,3,312,44603,118780.43999999999
727,Toyota,2,285,40757,74634.3
728,Toyota,4,103,34526,61210.4
729,BMW,5,224,51755,124231.79999999999
730,Honda,5,387,56986,126840.4
731,Toyota,1,242,71160,52663.0
732,Toyota,1,357,13061,80385.9
733,Honda,3,132,138224,50669.6
734,Toyota,5,346,27036,119437.4
735,Honda,4,213,151833,73134.7
736,Honda,4,239,30291,92553.9
737,Honda,1,361,78275,83415.5
738,Toyota,1,243,73957,55709.3
739,BMW,2,123,39443,62432.03999999999
740,BMW,5,370,68813,157702.44
741,Toyota,5,334,79538,110603.2
742,Honda,1,248,189149,47882.1
743,BMW,1,204,130389,62754.119999999995
744,BMW,1,354,95328,99662.64
745,Toyota,2,151,72690,44627.0
